COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
MX,Zacatecas,ZAC Progresista,Non Wealthy,Not Prioritized,Gross Profit UE,2.050954662,1.93786423,1.713015262,2.597799165,-13.06472319,-21.70549089,-10.92793239,-23.2036387,-18.35992405
EC,Guayaquil,Metropolis,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8767819144,0.8922568036,0.89033252,0.8921447301,0.9118274236,0.9244922599,0.9218514482,0.9068624052,0.8998574043
MX,Ciudad De Mexico,Santafe,Wealthy,Prioritized,Gross Profit UE,2.90719281,2.886891512,2.857195235,2.080233918,1.803774361,1.728375397,2.129127371,2.897539928,2.367890874
MX,Manzanillo,MAN_Playa_Azul,Non Wealthy,Prioritized,Gross Profit UE,-0.04162185152,-0.4241714734,-0.1483080914,0.3576371536,0.7548938314,0.9626670726,1.291573388,1.728482474,1.482029614
BR,Grande São Paulo,SP - SP - Socorro/Cidade Dutra,Non Wealthy,Not Prioritized,Gross Profit UE,-1.097658374,-1.035214613,-0.4352476199,-0.8512160619,-0.9764285916,1.133528172,0.8010589429,0.2890318227,-0.03398057585
BR,Balneario Camboriu,SC - BAL - Balneário,Non Wealthy,Not Prioritized,Gross Profit UE,-3.493542613,-2.284172379,-0.8889959689,-0.6197275051,0.6861596721,0.6019568387,0.2676074018,1.043798319,0.2049472346
CO,Barranquilla,Barranquilla sur,Non Wealthy,Prioritized,Gross Profit UE,1.251612128,1.202868882,1.390384363,1.653415954,1.942460681,2.259881444,2.356525158,2.39595629,2.159951873
CL,Santiago De Chile,San Bernardo,Non Wealthy,Prioritized,Gross Profit UE,-3.857035989,-3.358766528,-4.708783878,-5.466969142,-5.465490885,-4.990023407,-4.702922162,-4.452508203,-6.137709051
CO,Valledupar,El viajero,Non Wealthy,Prioritized,Retail SST > SS CVR,0.9337110415,0.9358759313,0.9350160171,0.9382458843,0.9425160149,0.9496066561,0.9472916777,0.9520257088,0.9540105192
MX,Guadalajara,Las Pintas-Aeropuerto,Non Wealthy,High Priority,Gross Profit UE,0.7276766549,0.5374084186,-0.02224829996,-0.2399165114,-0.1129551476,-0.1320478248,0.2972195306,0.8188488472,0.6764611869
UY,Montevideo,Prado,Non Wealthy,Prioritized,Gross Profit UE,0.532972235,-0.8303791488,-0.6573859119,-0.7553550912,0.0107425477,1.23471461,0.4667729844,0.7856304872,1.183225809
CR,San Jose,Escazú,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8633036963,0.8843183877,0.8983781919,0.8941662576,0.894689319,0.8924550109,0.9024338175,0.9138724211,0.8808746733
AR,La Plata,Plaza italia,Non Wealthy,Prioritized,Gross Profit UE,0.9347495254,0.9289100819,0.6370727002,0.5085502572,0.9805965071,1.358079849,1.338863263,1.560906892,0.8313330552
AR,Posadas,Posadas,Non Wealthy,Not Prioritized,Gross Profit UE,-1.445872573,-2.235529079,-2.333018609,-2.353169743,-6.180777917,-8.078917841,-9.734732341,-23.09335041,-17.71098046
BR,Curitiba,PR - SJP - São José dos Pinhais,Non Wealthy,Not Prioritized,Gross Profit UE,-9.769601186,-6.863639703,-5.122821862,-6.064576946,-8.81815253,-7.406859991,-5.29820849,-5.033452204,-4.73684874
CO,Cali,Puerta del Sol 2,Non Wealthy,Not Prioritized,Gross Profit UE,1.455882641,1.380681581,1.403355316,1.387431675,1.844248626,2.290216797,2.414036576,2.487714185,2.381442066
CL,Copiapo,Copiapó,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8062142324,0.7973327067,0.8035906889,0.7993897361,0.794508342,0.7711934909,0.7935989021,0.7785236229,0.815065491
BR,Salvador,BA - LDF - Lauro de Freitas,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6654518411,0.6014051075,0.4587610802,0.4107575758,0.4801010101,0.4286111111,0.465,0.5253205128,0.5512820513
BR,Caxias Do Sul,FS Rio Branco/São Leopoldo/Floresta/Medianeira/São Pelegrino CXJ,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.2,0.5,0.3,0.2,0.1,0,0,0,0
MX,Comitan De Dominguez,CMD Las Flores,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.2456410256,0.1432051282,0.2141025641,0.125,0.06666666667,0.1933333333,0.52,0.58,0.59
MX,Orizaba,OZA El Bejucal,Non Wealthy,Not Prioritized,Gross Profit UE,2.259028115,2.329048842,1.588955088,1.487445834,-3.538390394,-13.21048757,-35.40220382,-60.99131626,-35.88956736
EC,Quito,Carcelen Industrial,Non Wealthy,Not Prioritized,Gross Profit UE,1.537714357,1.228599196,1.204457158,1.046178611,0.9808480006,0.7194460066,0.551138561,0.8226335446,1.626984021
BR,Jundiai,Varzea Paulista,Non Wealthy,Not Prioritized,Gross Profit UE,-3.425708772,0.6751837989,0.3029371006,-0.1191223095,3.805664714,1.434407112,-0.6935593272,-2.005957847,-3.798294592
BR,Taubate,Taubaté MP,Non Wealthy,Not Prioritized,% Restaurants Sessions With Optimal Assortment,0,0,0,0,0,0,0,0,0
BR,Rio De Janeiro,Bangu,Non Wealthy,Not Prioritized,Gross Profit UE,-4.586630694,-5.313540128,-6.316266247,-3.934645421,-3.530291339,-3.473672872,-3.481483047,-4.559862918,-3.698141152
PE,Lima,Chorrillos,Non Wealthy,High Priority,Gross Profit UE,1.632671829,1.196603881,1.324068552,1.695337385,1.526262711,1.297851961,1.416472626,1.755026261,0.548437688
EC,Guayaquil,Atarazana,Non Wealthy,Prioritized,Gross Profit UE,2.742691008,2.252235052,2.127572256,2.126074797,1.809958677,1.584237556,1.944386696,1.911842455,2.017464704
MX,Ciudad De Mexico,CDMX_Cuautitlan_Melchor_Ocampo,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8332118171,0.8511176926,0.8652131626,0.8724777483,0.8711397631,0.8560122862,0.8606513441,0.8650845433,0.8669346775
BR,Grande São Paulo,SP - OSC - Baronesa/Jardim Elvira,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9444876715,0.9483441534,0.9508164147,0.9537282903,0.9592185381,0.9554087261,0.951018156,0.9467503499,0.9398442352
EC,Manta,Jesus de Nazaret,Non Wealthy,Not Prioritized,Gross Profit UE,0.0994320628,-2.067323677,-1.876484523,-0.07693173608,0.1808289436,0.4938916242,0.2208687074,-4.838011626,-2.964967116
CR,San Jose,Urbanizacion La Paz,Non Wealthy,Not Prioritized,Gross Profit UE,-15.00411811,-15.498378,-5.303891294,-8.90702122,-8.670059026,,,,-1.991787046
CR,San Jose,Urbanizacion La Paz,Non Wealthy,Not Prioritized,Gross Profit UE,-15.00411811,-15.498378,-5.303891294,-8.90702122,-8.670059026,,,,-1.991787046
PE,Lima,Callao,Non Wealthy,Prioritized,Gross Profit UE,0.9224741928,0.5584902024,0.7367698463,1.052604984,0.7337868398,0.6297376273,0.7823553823,1.094007534,-0.1186896766
MX,Puebla,Cholula,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8887465192,0.8956194834,0.8990406688,0.8985400025,0.895340306,0.903031802,0.9082139849,0.9133768831,0.911757256
BR,Florianopolis,SC - FLN - Santo Antonio de Lisboa,Non Wealthy,Not Prioritized,Gross Profit UE,,0.6108434886,1.472350535,3.146478427,,,2.137925715,3.74885878,4.654436412
MX,Chihuahua,CH_Periferico,Wealthy,Prioritized,Gross Profit UE,0.2502972739,-0.3460961822,-0.2495883284,0.1509915349,1.097921436,2.110651028,2.576086378,2.802077563,2.529353367
MX,Monterrey,Escobedo,Non Wealthy,Prioritized,Gross Profit UE,0.9701958405,1.037779987,0.8753113738,0.664043867,0.3996794115,0.3106362328,0.7124863974,1.360450829,1.179973897
MX,Zacatecas,ZAC Tres Cruces,Non Wealthy,Not Prioritized,Gross Profit UE,2.14711923,2.0804469,2.476469947,2.98284398,-19.81118586,-34.39811009,-19.68262801,-18.48400823,-14.97196372
CL,Chillan,Chillán,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8208894164,0.78789261,0.7874463297,0.7775149305,0.7604945631,0.7703509598,0.7716274291,0.799155105,0.7615843423
CO,Cartago,Cartago,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9155293389,0.9025713264,0.8985161054,0.899135279,0.8972030134,0.9131021822,0.9160149683,0.910646461,0.9062564686
CO,Bogota,Antonio Nariño,Non Wealthy,High Priority,Retail SST > SS CVR,0.8667475405,0.8658912818,0.8696334614,0.8687472461,0.8697945555,0.8770040989,0.8802779072,0.8916108967,0.8948051466
MX,Atlacomulco,ATL San Lorenzo,Non Wealthy,Not Prioritized,Gross Profit UE,4.018512079,3.308433182,2.962376036,3.373758542,3.431737748,3.205627633,3.422845634,4.114300277,3.738678023
MX,San Juan Del Rio,SAN JUAN DEL RIO,Non Wealthy,Prioritized,Retail SST > SS CVR,0.846680755,0.86016925,0.8662511945,0.871670764,0.8593017618,0.8571267979,0.8673250495,0.86734542,0.8779305279
EC,Quito,Cumbaya,Wealthy,Prioritized,Gross Profit UE,3.663181827,3.33371632,3.238690844,3.046732822,2.955274504,2.761723238,2.391357567,2.697231325,3.640356448
MX,Merida,MID_CENTRO,Non Wealthy,Prioritized,Gross Profit UE,1.965445624,1.803430631,1.408695909,1.276649916,1.226358505,1.209767994,1.540104671,2.280954796,2.206699946
MX,Cancun,Cun_Los Héroes-Puerto,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8877728895,0.8918741797,0.8967139364,0.8947775137,0.8864586798,0.8877284294,0.8940435486,0.8991253238,0.8924822327
EC,Quito,Argelia Alta,Non Wealthy,Not Prioritized,Gross Profit UE,-0.4603731493,0.2890216996,-0.04889601605,-0.7127531015,-1.916267188,-2.090325856,-1.857257083,-0.9558089671,0.3264504152
MX,Monterrey,MTY_Guadalupe,Non Wealthy,High Priority,Gross Profit UE,-0.2459742109,-0.5053381889,-0.5442110998,-0.5615804021,-0.5252864948,-0.6136934387,-0.3364764756,0.4224480477,0.3883638703
PE,Arequipa,Cerro Verde Suroeste,Non Wealthy,Prioritized,Gross Profit UE,1.134720528,1.022622095,0.8135484904,0.7998663456,0.5448034021,0.2190854184,0.5493827101,0.9864593864,-0.8107574658
MX,Fresnillo,FRS Centro,Non Wealthy,Not Prioritized,Gross Profit UE,3.12575255,2.733671693,2.351137971,2.955267889,-10.19419181,-6.434545616,1.883816296,3.414806422,1.487313465
MX,Monterrey,Cumbres Poniente,Wealthy,High Priority,Gross Profit UE,1.985938,1.860599852,1.558566012,1.329521687,1.46990265,1.234027618,1.569696531,2.239563857,2.354122711
PE,Ica,Parcona,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8165678524,0.8158624888,0.8218407443,0.8315399971,0.8521579779,0.8514845766,0.8576337362,0.8743513952,0.8840975844
PE,Lima,Huayna Capac,Non Wealthy,Prioritized,Gross Profit UE,-0.05505604004,-0.4511640689,-0.08350754196,0.3753092879,0.1226981267,-0.2082766472,-0.09884575874,0.2598492309,-0.6857557058
CL,Santiago De Chile,Maipú,Non Wealthy,Prioritized,Gross Profit UE,-1.564679598,-1.659453976,-2.126343497,-2.050094468,-1.640930876,-2.239393156,-2.265917248,-1.536960132,-2.102605317
BR,Bauru,FS Parque Jardim Europa/Vila Riachuelo - BAU,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0.7270833333,0.8666666667,0.8166666667,0.5,0.6333333333,0.3666666667,0.2,0.3666666667,0.6
BR,Belo Horizonte,Santa_amalia/Venda_Nova,Non Wealthy,Not Prioritized,Gross Profit UE,-3.739133806,-3.703567831,-4.018788384,-4.480073515,-4.246993902,-3.860471263,-3.144132002,-3.198903182,-3.05932477
EC,Guayaquil,Villa del Rey,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8774874282,0.8670062238,0.8656050005,0.888968814,0.8999874166,0.8070368934,0.6396360766,0.5931099101,0.5102454925
MX,Garcia,GAR Los nogales,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.7920224323,0.7934773116,0.7987272168,0.8018645878,0.8019088046,0.7995943862,0.802355473,0.8097154256,0.8140880111
MX,Comitan De Dominguez,CMD Centro,Non Wealthy,Not Prioritized,Gross Profit UE,5.227099384,3.851230194,3.811904619,4.760309975,5.150767608,6.798558234,6.744485733,5.554217158,5.615818307
AR,Parana,Parana,Non Wealthy,Not Prioritized,Gross Profit UE,-2.364744287,-2.509932141,-2.442157812,-2.243740871,-1.809053318,-1.406688103,-1.166661887,-0.8212574786,-1.545643868
MX,Tulancingo,TGO Centro,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.7902094123,0.795347528,0.8109572456,0.8242429557,0.8138005098,0.7931619185,0.81481951,0.8364894097,0.830653323
AR,Buenos Aires,Palermo,Wealthy,Prioritized,Gross Profit UE,4.296982722,4.246643775,3.88602354,3.947446387,4.639398639,5.002112158,4.936013863,5.224031271,4.082560723
BR,Novo Hamburgo,Novo Hamburgo MP,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.4,0.7,0.9,0.6,0.3,0.1,0,0.4,0.7
MX,Cancun,Cun Centro,Wealthy,High Priority,Gross Profit UE,3.060576548,2.807574898,2.87844552,3.677205749,3.764329668,3.657431095,3.989403875,4.523422353,4.44909208
CO,Cali,Cali Centro oeste,Wealthy,High Priority,Gross Profit UE,2.503347971,2.525342552,2.530997205,2.556151723,2.81411466,3.012295712,3.043055316,3.137824734,2.674927222
CO,Bogota,Usaquén,Wealthy,High Priority,Gross Profit UE,2.893531572,3.038535989,3.174798158,3.225574896,3.176552583,3.267111458,3.301411713,3.394502055,2.896239202
PE,Arequipa,Centro Historico Arequipa,Non Wealthy,Prioritized,Gross Profit UE,0.9695656342,0.7535454958,0.8098171259,1.059723385,0.8579539862,0.657139923,0.5962358597,0.9846287873,-0.05156291759
BR,Grande São Paulo,SP - SP - Vila Formosa/Carrao,Non Wealthy,Prioritized,Retail SST > SS CVR,0.9438422535,0.9450499895,0.9490694168,0.9506954695,0.9541157618,0.954188215,0.9546540721,0.9616408122,0.960625893
MX,Puebla,San francisco,Non Wealthy,High Priority,Retail SST > SS CVR,0.8681604191,0.879979844,0.8871361269,0.8896208466,0.8879683111,0.884681243,0.885341676,0.8895024731,0.8917513767
MX,Tijuana,TIJ_Santa_Fe,Wealthy,Prioritized,Gross Profit UE,-1.935149476,-1.917517797,-1.902366138,-1.555546813,-0.6897140671,-0.148114958,-0.432870971,-0.223146483,-0.3637094923
MX,Rosarito,Rosarito,Non Wealthy,Not Prioritized,Gross Profit UE,0.7585874894,0.792729671,0.6532693375,0.6592541112,0.958026811,1.00798262,1.153507381,1.276399513,1.308456787
BR,Rio De Janeiro,Oswaldo Cruz,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8897888269,0.8736908612,0.8356841094,0.8443176202,0.8809009303,0.8812331669,0.8964904,0.892832206,0.8643525471
MX,Campeche,CAMP Aeropuerto,Non Wealthy,Prioritized,Gross Profit UE,1.376376824,1.39670777,1.940420335,2.270692582,2.173821633,1.93138241,2.089921662,3.275328545,3.290549612
CR,San Jose,Urbanizacion La Paz,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6833333333,0.8222222222,0.9111111111,0.5666666667,0.7,0.8,0.5,0.5,0.65
PE,Lima,Ate Centro,Non Wealthy,Prioritized,Gross Profit UE,0.7151492777,0.3672477175,0.6688645211,0.9162808951,0.5106453403,0.2728087642,0.4451589574,0.799549033,0.1044055487
CL,Concepcion,Talcahuano,Non Wealthy,Not Prioritized,Gross Profit UE,-8.58038852,-9.555084682,-7.858700859,-5.252846009,-3.794150531,-6.043431098,-8.498125468,-4.650129112,-4.653347749
PE,Piura,Miraflores Centro,Non Wealthy,Prioritized,Gross Profit UE,2.264169176,2.231865275,2.072499178,2.158764654,1.921901729,1.688048873,1.689910967,1.925113887,1.063883629
CL,Santiago De Chile,macul,Non Wealthy,High Priority,Gross Profit UE,1.61998104,1.569747863,1.160984841,1.541862108,1.919508408,2.062308298,1.987475569,2.769027824,1.647466826
MX,Villahermosa,VSA_Centro,Wealthy,Prioritized,Retail SST > SS CVR,0.9056110616,0.9128975366,0.9207302435,0.9220520696,0.9120723011,0.9109857922,0.9146817373,0.9216514864,0.921594277
CO,Bucaramanga,Norte,Non Wealthy,Prioritized,Gross Profit UE,1.806735288,1.873883494,1.897100055,1.896866268,2.285323393,2.705583401,2.894769272,2.971469413,2.026402901
BR,Campinas,SP - VCP - Jardim Itatinga,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9666666667,0.9888888889,1,1,1,1,0.8,0.85,0.9
AR,Mar Del Plata,MAR_DEL_PLATA_CENTRO,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8619143078,0.8617272954,0.8583564561,0.8668294616,0.8771534544,0.884032019,0.885768161,0.8759356293,0.8567985768
CR,San Jose,Heredia,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8275829275,0.8369900513,0.8233908998,0.8115854793,0.7911586228,0.7941896445,0.8203413824,0.8338992796,0.8381198356
PE,Huancayo,Chilca,Non Wealthy,Prioritized,Gross Profit UE,-0.4742327159,-0.5388115446,-0.3555832924,-0.5767754265,-1.157982329,-1.359193412,-1.010442789,-1.507779332,-2.806623244
MX,Saltillo,Sal_Ramos Arizpe,Non Wealthy,Prioritized,Gross Profit UE,2.248802035,2.289418355,2.319448997,2.451370776,2.712273751,2.716938047,3.119304918,3.825258115,3.8948936
PE,Punta Hermosa,Sur Chico Playas,Non Wealthy,Prioritized,Gross Profit UE,-1.469417247,-1.74857109,-1.741749728,-1.679782383,-1.785679238,-1.747670011,-1.331439217,-1.097718935,-3.195844947
BR,Grande São Paulo,SP - SP - Vila Medeiros/Vila Maria,Non Wealthy,Not Prioritized,Gross Profit UE,-1.627764556,-1.505063954,-1.233503452,-1.281293684,-1.153446472,-0.4187846074,-0.03094595678,0.2347667531,-0.1091207272
CO,Medellin,Alto_de_las_palmas,Wealthy,Prioritized,Gross Profit UE,5.076059081,5.256311356,5.49506523,5.460324578,5.054036156,4.797710079,4.93431618,4.807563895,4.800548919
CO,Sincelejo,Sincelejo,Non Wealthy,Prioritized,Gross Profit UE,1.339318147,1.276445153,1.133503236,1.134794228,1.640566387,1.952706222,1.984278252,1.858921189,1.634511452
MX,Coatzacoalcos,CTZ Allende,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0.3011904762,0.2994047619,0.3642857143,0.2611111111,0.3333333333,0.2638888889,0.3290598291,0.2801282051,0.258974359
CO,Ibague,Guabinal,Non Wealthy,Prioritized,Gross Profit UE,2.24771944,2.28155358,2.193436737,2.128212535,2.401831859,2.667279026,2.697137183,2.581540406,1.774516966
CL,Concepcion,Trebol Marina,Non Wealthy,Prioritized,Gross Profit UE,-8.631022006,-8.369176327,-7.675135626,-7.050371684,-7.110469441,-7.895714812,-8.085915085,-6.537223887,-6.522298145
AR,Cordoba,Cordoba Zona Sur,Non Wealthy,Prioritized,Gross Profit UE,0.08558479964,-0.08187423717,0.01725086795,0.1676561565,0.387900703,0.05969080103,0.03849634578,0.3348514814,-0.3379795908
CL,Concepcion,San Pedro,Wealthy,Prioritized,Retail SST > SS CVR,0.8316897905,0.8391690664,0.8402396879,0.8386639832,0.8331746375,0.8120213468,0.7925072068,0.8022647551,0.7739143265
AR,San Rafael,SAN_RAFAEL,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9184767139,0.9128979772,0.8942476354,0.8965892559,0.9105887894,0.9415576909,0.966752615,0.9557352839,0.9277137526
BR,Grande São Paulo,SP - SP - Itaquera,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8942276751,0.8923168344,0.8818704223,0.8728555483,0.8687126077,0.8763051539,0.8834375697,0.8975049332,0.8894752488
CO,Popayan,Popayan Norte,Wealthy,Prioritized,Gross Profit UE,1.529390447,1.384114539,1.362461486,1.521532719,1.856030846,2.127137913,2.140773851,2.170483094,2.002506384
MX,Oaxaca,Oax_Centro,Non Wealthy,Prioritized,Gross Profit UE,1.137073946,1.040858719,0.972773112,1.252691129,1.459326528,1.637584002,2.132194131,2.414979488,2.183441422
CO,Barranquilla,Villa Campestre,Wealthy,Prioritized,Retail SST > SS CVR,0.9086875937,0.9075806065,0.9085515952,0.9111827239,0.9146281951,0.9276799407,0.9437803695,0.9596418956,0.9679778847
AR,Buenos Aires,CABALLITO,Wealthy,Prioritized,Gross Profit UE,3.666752752,3.635928706,3.305324976,3.35728872,3.926508028,4.213631527,4.221476596,4.512869804,2.974062294
BR,Rio De Janeiro,Recreio,Wealthy,Not Prioritized,Retail SST > SS CVR,0.9672767969,0.9688072047,0.9646392094,0.9635566704,0.9652113094,0.9642218435,0.9706745595,0.9729381285,0.9758146092
MX,Durango,Dgo_el_refugio,Non Wealthy,Prioritized,Gross Profit UE,1.407445812,1.490354452,1.416787019,1.77771279,2.13773305,2.402331531,2.667329103,3.064723836,2.808271631
AR,Buenos Aires,Bs As Sur Adrogue,Wealthy,High Priority,Gross Profit UE,1.423487742,1.327787543,1.092813341,1.328297556,1.793434361,1.874419575,1.965541879,2.101758617,0.7310124344
PE,Trujillo,El Porvenir,Non Wealthy,Not Prioritized,Gross Profit UE,0.2980418854,0.1518383982,0.02534417379,0.1004571919,-0.5462128602,-0.8928561647,-0.4543079261,-0.8057072297,-2.497104666
PE,Cajamarca,Baños del Inca,Non Wealthy,Not Prioritized,Gross Profit UE,-0.1439412277,-1.058182185,-1.140455088,-1.526964341,-1.295194543,-1.023792113,-17.72234899,-34.63807107,-23.39944855
MX,Cancun,Cun_Hacienda-Valle Verde,Non Wealthy,Prioritized,Gross Profit UE,1.193334121,1.117791037,1.277367555,1.700164303,2.198334335,2.544701711,2.985079429,3.33997415,2.803316859
MX,Ciudad De Mexico,CDMX_Cuautitlan_Melchor_Ocampo,Non Wealthy,Prioritized,Gross Profit UE,-2.155768945,-3.201894066,-3.859734638,-4.572563271,-4.504540033,-4.316567827,-3.437254677,-2.31972929,-1.989411396
BR,Porto Alegre,RS - POA - Moinhos de Vento,Wealthy,Prioritized,Gross Profit UE,2.158732096,2.124178551,2.184634671,2.503487413,2.57822509,2.914236419,3.118495348,3.244648971,2.117772658
MX,Hermosillo,Hmo_Poniente,Wealthy,High Priority,Gross Profit UE,-0.3490544327,-0.5461697358,-0.259630998,0.1873740375,0.4710160259,0.9290717851,0.9975009927,1.123150382,0.5045610807
EC,Quito,Carcelen Industrial,Non Wealthy,Not Prioritized,Gross Profit UE,1.537714357,1.228599196,1.204457158,1.046178611,0.9808480006,0.7194460066,0.551138561,0.8226335446,1.626984021
BR,Recife,PE - REC - Zona Sul,Wealthy,High Priority,Retail SST > SS CVR,0.9582197516,0.9611330163,0.9633299903,0.9631261302,0.9617580678,0.963707537,0.9649998964,0.9661156611,0.9649527966
PE,Cusco,Larapa,Non Wealthy,Prioritized,Gross Profit UE,0.5049786523,0.2327020082,0.3695987819,0.602260367,0.3199421981,0.0105244598,0.1975672895,0.5897325087,-1.356763448
BR,Rio De Janeiro,Meier,Non Wealthy,Not Prioritized,Gross Profit UE,0.1095587212,-0.4138134334,0.08914806095,0.792379867,2.313424241,3.194986224,3.115258781,2.028287029,2.129832384
MX,Aguascalientes,AGS_Jesus Maria,Non Wealthy,Prioritized,Retail SST > SS CVR,0.8534926512,0.8606304332,0.8605926518,0.8581883509,0.8607937704,0.8578028683,0.8482583345,0.8562291939,0.8636593207
MX,Cuautla,Cuautla,Non Wealthy,Not Prioritized,Gross Profit UE,2.459151106,2.002797001,1.839471795,2.257595507,2.37966007,2.419920265,2.989938431,3.463521349,3.250670092
BR,Porto Alegre,RS - POA - Passo da Areia,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.9351160746,0.9314532814,0.9350948814,0.9397049952,0.9455214671,0.9461293253,0.9373521224,0.9345675092,0.9338418579
AR,San Miguel De Tucuman,Tucuman,Non Wealthy,Not Prioritized,Gross Profit UE,-0.3230745925,-0.5500333044,-0.5418844905,-0.277427019,0.213340066,0.398611186,0.7381548567,1.231322776,-0.1355567156
CO,Bucaramanga,Floridablanca,Wealthy,High Priority,Gross Profit UE,1.578974452,1.688320873,1.721885687,1.721541663,1.93895509,2.265007222,2.413802561,2.477524487,1.753819914
PE,Arequipa,Arequipa Sur,Non Wealthy,Prioritized,Gross Profit UE,0.5582473943,0.4918339094,0.4448991717,0.666422736,0.5512257658,0.3385420187,0.4480137991,0.7699181039,-0.1309234942
MX,Tuxtla Gutierrez,TUX_San Francisco Real,Wealthy,Prioritized,Gross Profit UE,1.364345578,0.8016302765,0.2853381413,0.7845847436,1.209935395,1.718395974,2.327461492,2.873833005,2.69066048
MX,Ciudad De Mexico,CDMX_coapa_iztapalapa,Non Wealthy,High Priority,Retail SST > SS CVR,0.8761317083,0.8827987972,0.8908956899,0.892589487,0.8946399976,0.8967515547,0.8997962346,0.9030664025,0.8989720149
BR,Grande São Paulo,SP - SP - Mooca/Tatuapé,Wealthy,High Priority,Gross Profit UE,0.727616613,0.8083332563,0.9297559574,0.864071411,1.426658324,1.94365782,2.233151949,2.222473358,1.32309902
MX,Veracruz,VER_Boca,Wealthy,Prioritized,Gross Profit UE,2.63732687,2.664252689,2.93039745,3.093290022,3.612808694,3.871143142,3.938489087,4.447069822,4.114374536
MX,Guadalajara,Zapopan,Wealthy,Prioritized,Gross Profit UE,3.359376353,3.243102481,2.997050624,2.899432895,3.018022014,2.738411634,2.786241079,3.088878607,3.091363344
BR,Grande São Paulo,SP - SP - Mandaqui,Non Wealthy,Not Prioritized,Gross Profit UE,-1.445652892,-1.374046043,-1.224080908,-1.544046609,-1.153229921,0.08112507427,1.041405752,0.6191843861,-0.1823832925
BR,Mogi Das Cruzes,Centro - MOG,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.6642857143,0.7561904762,0.6814285714,0.4966666667,0.4983333333,0.63,0.6075,0.785,0.7875
EC,Guayaquil,Ceibos,Wealthy,Prioritized,Retail SST > SS CVR,0.9586113414,0.9625663741,0.9631982137,0.9638842488,0.9637317506,0.9674998204,0.9617725865,0.961817792,0.9659667063
MX,Zacatecas,ZAC Tres Cruces,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.8854236258,0.8907165186,0.8933584542,0.9048751978,0.9018170426,0.8939818296,0.9089206374,0.9104424824,0.9176646307
PE,Lima,San Luis Red,Non Wealthy,Not Prioritized,Gross Profit UE,0.5284153942,0.3649313351,0.8134750847,0.8244949308,0.8394892694,0.5529916319,0.3777919016,1.179901035,1.021214321
BR,Grande São Paulo,Barra_funda/Lapa,Wealthy,High Priority,Gross Profit UE,2.53086252,2.790907443,2.927217399,2.89998384,3.266685419,3.79611102,4.077563889,4.110922335,3.111276201
AR,Buenos Aires,Merlo Moreno,Non Wealthy,Prioritized,Gross Profit UE,-0.8145496426,-0.7112150322,-0.9576196233,-0.5909435561,-0.3207505656,-0.9208775441,-1.171148611,-0.9646917351,-1.897733794
MX,Zacatecas,ZAC Campesina,Non Wealthy,Not Prioritized,Gross Profit UE,1.990172638,1.337869182,2.133158381,2.833871762,-23.3511037,-35.00311245,-19.39408555,-16.20638803,-16.25613039
PE,Lima,San Juan de Miraflores,Non Wealthy,High Priority,Gross Profit UE,1.127184056,0.6398335679,0.8180849767,1.242500876,1.146687511,1.07400778,1.151682755,1.360305844,0.6837877279
EC,Quito,Antiguo Aeropuerto,Non Wealthy,Prioritized,Gross Profit UE,1.881748487,1.565703082,1.256289618,1.121650074,1.504812242,1.139787783,0.6130200089,0.9554641478,1.702773931
MX,Puebla,Centro_calvario,Non Wealthy,Prioritized,Gross Profit UE,1.798931732,1.401658479,0.9904375521,0.3057799124,0.2163200901,0.2991703717,0.7064995752,1.308984381,1.146896884
